"Fullname","PowerShell51","PowerShell61","PSStandard5","ExclusionReason"
"System.Management.Automation.CmdletCommonMetadataAttribute","True","True","True",""
"System.Management.Automation.CmdletInfo","True","True","True",""
"System.Management.Automation.CmdletInvocationException","True","True","True",""
"System.Management.Automation.CmdletProviderInvocationException","True","True","True",""
"System.Management.Automation.CmdletProviderManagementIntrinsics","True","True","True",""
"System.Management.Automation.CmsMessageRecipient","True","True","True",""
"System.Management.Automation.CommandBreakpoint","True","True","True",""
"System.Management.Automation.CommandCompletion","True","True","True",""
"System.Management.Automation.CommandInfo","True","True","True",""
"System.Management.Automation.CommandInvocationIntrinsics","True","True","True",""
"System.Management.Automation.CommandLookupEventArgs","True","True","True",""
"System.Management.Automation.CommandMetadata","True","True","True",""
"System.Management.Automation.CommandNotFoundException","True","True","True",""
"System.Management.Automation.CommandOrigin","True","True","True",""
"System.Management.Automation.CommandParameterInfo","True","True","True",""
"System.Management.Automation.CommandParameterSetInfo","True","True","True",""
"System.Management.Automation.CommandTypes","True","True","True",""
"System.Management.Automation.CompletionCompleters","True","True","True",""
"System.Management.Automation.CompletionResult","True","True","True",""
"System.Management.Automation.CompletionResultType","True","True","True",""
"System.Management.Automation.ConfigurationInfo","True","True","True",""
"System.Management.Automation.ConfirmImpact","True","True","True",""
"System.Management.Automation.ContainerParentJob","True","True","True",""
"System.Management.Automation.ContentCmdletProviderIntrinsics","True","True","True",""
"System.Management.Automation.ContinueException","True","True","True",""
"System.Management.Automation.ConvertThroughString","True","True","True",""
"System.Management.Automation.CopyContainers","True","True","True",""
"System.Management.Automation.CredentialAttribute","True","True","True",""
"System.Management.Automation.CustomControl","True","True","True",""
"System.Management.Automation.CustomControlBuilder","True","True","True",""
"System.Management.Automation.CustomControlEntry","True","True","True",""
"System.Management.Automation.CustomEntryBuilder","True","True","True",""
"System.Management.Automation.CustomItemBase","True","True","True",""
"System.Management.Automation.CustomItemExpression","True","True","True",""
"System.Management.Automation.CustomItemFrame","True","True","True",""
"System.Management.Automation.CustomItemNewline","True","True","True",""
"System.Management.Automation.CustomItemText","True","True","True",""
"System.Management.Automation.CustomPSSnapIn","True","False","False",""
"System.Management.Automation.DataAddedEventArgs","True","True","True",""
"System.Management.Automation.DataAddingEventArgs","True","True","True",""
"System.Management.Automation.Debugger","True","True","True",""
"System.Management.Automation.DebuggerCommandResults","True","True","True",""
"System.Management.Automation.DebuggerResumeAction","True","True","True",""
"System.Management.Automation.DebuggerStopEventArgs","True","True","True",""
"System.Management.Automation.DebugModes","True","True","True",""
"System.Management.Automation.DebugRecord","True","True","True",""
"System.Management.Automation.DebugSource","True","False","False",""
"System.Management.Automation.DefaultParameterDictionary","True","True","True",""
"System.Management.Automation.DisplayEntry","True","True","True",""
"System.Management.Automation.DisplayEntryValueType","True","True","True",""
"System.Management.Automation.DriveManagementIntrinsics","True","True","True",""
"System.Management.Automation.DriveNotFoundException","True","True","True",""
"System.Management.Automation.DscLocalConfigurationManagerAttribute","True","True","True",""
"System.Management.Automation.DscPropertyAttribute","True","True","True",""
"System.Management.Automation.DscResourceAttribute","True","True","True",""
"System.Management.Automation.DscResourceInfo","True","True","True",""
"System.Management.Automation.DscResourcePropertyInfo","True","True","True",""
"System.Management.Automation.DSCResourceRunAsCredential","True","True","True",""
"System.Management.Automation.DynamicClassImplementationAssemblyAttribute","True","True","True",""
"System.Management.Automation.EngineIntrinsics","True","True","True",""
"System.Management.Automation.EntrySelectedBy","True","True","True",""
